GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookmanagement,com.bookmanagement.bookmanagement.kafka,KafkaConsumer,6,27,0,0,2,9,0,3,0,3
bookmanagement,com.bookmanagement.bookmanagement.kafka,KafkaProducer,0,13,0,0,0,5,0,2,0,2
bookmanagement,com.bookmanagement.bookmanagement.controller,BookController,13,98,0,0,3,21,1,8,1,8
bookmanagement,com.bookmanagement.bookmanagement.controller,UserController,44,12,6,0,10,5,5,1,2,1
bookmanagement,com.bookmanagement.bookmanagement.entitydto,BookDTO,154,90,38,0,0,19,22,13,3,13
bookmanagement,com.bookmanagement.bookmanagement.authentication,JwtAuthFilter,48,26,10,2,7,11,6,2,0,2
bookmanagement,com.bookmanagement.bookmanagement.entity,UserInfo,210,26,40,0,1,7,28,8,8,8
bookmanagement,com.bookmanagement.bookmanagement.entity,AuthRequest,18,106,12,10,0,5,10,11,0,10
bookmanagement,com.bookmanagement.bookmanagement.entity,Book,57,153,22,16,2,6,20,13,2,12
bookmanagement,com.bookmanagement.bookmanagement.entity,UserInfoUserDetails,14,26,0,0,6,8,6,2,6,2
bookmanagement,com.bookmanagement.bookmanagement,BookmanagementApplication,11,3,0,0,4,1,1,1,1,1
bookmanagement,com.bookmanagement.bookmanagement,BookmanagementApplication.SwaggerConfig,19,8,0,0,4,2,1,2,1,2
bookmanagement,com.bookmanagement.bookmanagement.config,KafkaConfig,0,16,0,0,0,6,0,3,0,3
bookmanagement,com.bookmanagement.bookmanagement.config,JacksonConfig,0,7,0,0,0,2,0,2,0,2
bookmanagement,com.bookmanagement.bookmanagement.config,SecurityConfig,7,158,0,0,2,20,0,9,0,9
bookmanagement,com.bookmanagement.bookmanagement.utils,Scheduler,0,13,0,0,0,5,0,2,0,2
bookmanagement,com.bookmanagement.bookmanagement.utils,EmailAspect,0,60,0,0,0,21,0,4,0,4
bookmanagement,com.bookmanagement.bookmanagement.utils,MemoryHealthIndicator,26,6,2,0,7,3,3,1,2,1
bookmanagement,com.bookmanagement.bookmanagement.service,JwtService,90,14,4,0,21,5,10,2,8,2
bookmanagement,com.bookmanagement.bookmanagement.service,UserInfoUserDetailsService,0,25,0,0,0,6,0,3,0,3
bookmanagement,com.bookmanagement.bookmanagement.service,UserService,14,9,0,0,3,4,1,1,1,1
bookmanagement,com.bookmanagement.bookmanagement.service,BookService,25,109,1,1,5,28,2,6,1,6
